spark_udaf_udaf/100_JavaUserDefinedUntypedAggregation.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/14_Hsbd05.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/150_ArrayAggUDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/152_GroupConcatDistinctUDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/156_JavaUserDefinedUntypedAggregation.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/159_Lab15_31PointAttributionUdaf.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/160_WarpScriptUDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/163_GroupConcatDistinctUDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/174_UserDefinedUntypedAggregation.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/175_SparkAnalyticsExecutor.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/179_Extent2UDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/17_DefinedAggregationExample.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/182_JavaDataFrameSuite.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/183_JavaDataFrameSuite.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/184_MyDoubleAvg.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/185_Test_spark_udaf.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/186_MyDoubleAvg.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/187_JavaDataFrameSuite.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/188_JavaDataFrameSuite.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/193_GroupConcatDistinctUDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/194_GroupConcatDistinctUDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/199_JavaUserDefinedUntypedAggregation.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/20_UdfUtils.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/211_JavaDataFrameSuite.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/212_JavaDataFrameSuite.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/213_JavaDataFrameSuite.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/214_JavaDataFrameSuite.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/215_JavaDataFrameSuite.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/216_JavaDataFrameSuite.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/217_JavaDataFrameSuite.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/218_JavaDataFrameSuite.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/219_MyDoubleAvg.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/220_MyDoubleAvg.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/221_MyDoubleAvg.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/222_MyDoubleAvg.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/223_MyDoubleAvg.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/224_JavaDataFrameSuite.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/225_JavaDataFrameSuite.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/226_JavaDataFrameSuite.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/227_JavaDataFrameSuite.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/228_JavaDataFrameSuite.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/230_JavaUDFs.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/231_GroupConcatDistinctUDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/232_Hsbd05.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/233_IBSTransformer.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/234_GroupConcatDistinctUDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/236_ConcatStrUDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/238_Median.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/242_PropertiesAggregateFunction.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/245_JavaUserDefinedUntypedAggregation.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/246_AbstractSparkUDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/247_CustomUDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/251_ClimateProcessingWithSpark.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/252_JavaUserDefinedUntypedAggregation.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/255_CarbonUDAF.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/256_MyDoubleAvg.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/259_ConvexHullUDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/261_GroupConcatDistinctUDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/264_GroupConcatDistinctUDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/265_AggregateCellsUntypedFn.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/266_PointAttributionUdaf.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/267_InbreedingCoefficientTransformer.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/27_GroupConcatDistinctUDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/32_AnalyticsUDFsRegister.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/33_VariantSetStatsTransformer.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/34_Java_MyAgeAvgFunction.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/35_BkSparkSqlEmptyUDAF.java | BAD | LOC=0 | CONTROLFLOW=False | LANG=JAVA
spark_udaf_udaf/38_GroupConcatDistinctUDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/39_UDAF.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/43_UserDefinedUntypedAggregation.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/45_UDAFunc.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/46_GroupConcatDistinctUDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/47_DemoUDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/48_GroupConcatDistinctUDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/49_MyAvg.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/50_DiscretePercentile.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/53_RoaringBitMapByteUDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/55_ServiceHolder.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/57_EnvelopeUDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/5_PropertiesAggregateFunction.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/61_UDAF_DistinctCount.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/62_CompoundHeterozigoteTransformer.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/63_SparkFunctionFactory.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/65_SparkSQL.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/68_MyAverage.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/69_MyAverage.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/78_Hsbd04.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/7_Demo05_UDAF.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/83_GroupConcatDistinctUDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/84_Ex_6_Spark_SQL_UDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/86_UpsertReducer.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/88_Hsbd08.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/89_FunnelSumUDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/94_UserDefinedUntypedAggregation.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/95_JavaDataFrameSuite.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/97_SparkRepository.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/98_LineSweepAgg.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/9_AverageUDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
