spark_udaf_udaf/101_BaseSessionStateBuilder.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/190_cumprod.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/191_cumprod.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/192_UdfUtils.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/195_UDFRegistration.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/196_UDFRegistration.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/197_UDFRegistration.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/198_UDFRegistration.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/19_TimeFrameAggregator.scala | GOOD | LOC=22 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/1_BaseSessionStateBuilder.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/200_UserDefinedUntypedAggregation.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/201_UserDefinedUntypedAggregation.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/202_UserDefinedUntypedAggregation.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/203_UserDefinedUntypedAggregation.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/204_BaseSessionStateBuilder.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/205_BaseSessionStateBuilder.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/206_BaseSessionStateBuilder.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/207_performance.dashboard.scala | GOOD | LOC=3 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/208_performance.dashboard.scala | GOOD | LOC=3 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/209_performance.dashboard.scala | GOOD | LOC=3 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/210_performance.dashboard.scala | GOOD | LOC=3 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/21_Pivot.scala | GOOD | LOC=9 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/229_Catalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/22_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/235_VectorSum.scala | GOOD | LOC=7 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/237_MimaExcludes.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/239_UserDefinedUntypedAggregation.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/23_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/240_WeightedCentroid.scala | GOOD | LOC=6 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/241_TimeFrameAggregator.scala | GOOD | LOC=22 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/243_StackAggregate.scala | GOOD | LOC=4 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/244_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/248_Catalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/249_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/24_UDFRegistration.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/250_MbUdfSuite.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/253_Catalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/254_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/257_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/258_AttachRelatedRows.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/25_Ch7GroupingAdv.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/260_MyAverage.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/262_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/263_Spark02_SparkSQL_UDAF1.scala | GOOD | LOC=5 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/268_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/269_OHLCAggregator.scala | GOOD | LOC=22 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/26_vanilla_udaf.scala | GOOD | LOC=5 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/270_UDAFExample.scala | GOOD | LOC=3 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/28_BaseSessionStateBuilder.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/29_UserDefinedUntypedAggregation.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/2_Structured_APIs-Chapter_7_Aggregations.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/30_CollectCoordinateList.scala | GOOD | LOC=5 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/31_regslope.scala | GOOD | LOC=10 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/36_VectorSum.scala | GOOD | LOC=7 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/37_JWRelatedRows.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/3_NonSourceUDAF.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/40_hiveUDFs.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/41_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/42_ShipProgressUDAF.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/44_Catalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/4_UDFFunction.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/51_method_udaf.scala | GOOD | LOC=15 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/52_PM.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/54_BaseSessionStateBuilder.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/56_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/58_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/59_BatchPip.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/60_udaf_experiement.scala | GOOD | LOC=3 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/64_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/66_DataFrameAPI.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/67_BaseSessionStateBuilder.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/6_IBCC.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/70_GroupedData.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/71_06_backtesting.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/72_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/73_MyAverage.scala | GOOD | LOC=5 | CONTROLFLOW=True | LANG=SCALA
error: argv[1] =  spark_udaf_udaf/74_1.7 , which is not a filepath
error: argv[1] =  spark_udaf_udaf/User , which is not a filepath
error: argv[1] =  spark_udaf_udaf/Defined , which is not a filepath
error: argv[1] =  spark_udaf_udaf/Aggregate , which is not a filepath
error: argv[1] =  spark_udaf_udaf/Functions , which is not a filepath
error: argv[1] =  spark_udaf_udaf/Using , which is not a filepath
error: argv[1] =  spark_udaf_udaf/Scala.scala , which is not a filepath
spark_udaf_udaf/75_BaseSessionStateBuilder.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/76_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/77_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/79_MimaExcludes.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/80_NumsAvg.scala | GOOD | LOC=6 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/81_UDFFunction.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/82_Pivot.scala | GOOD | LOC=9 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/85_UserDefinedUntypedAggregation.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/87_UserDefinedUntypedAggregation.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/8_RuntimeCompileUDAF.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/90_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/91_UserDefinedUntypedAggregation.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/92_StringCount.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/93_CATD.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/96_SparkSQL.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/99_sparksql2.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
